id,word,meaning,furigana,romaji,level,frequency,difficulty
717,橋渡し,bridge building; mediation,はしわたし,hashiwatashi,1,2.9,9.4
718,捜索,search (esp. for someone or something missing); investigation,そうさく,sōsaku,1,4.0,8.3
719,志す,to plan; to intend; to aspire to; to set aims (sights on),こころざす,kokorozasu,1,3.1,9.200000000000001
720,考古学,archaeology,こうこがく,kōkogaku,1,3.26,9.040000000000001
721,普遍,universality; ubiquity; omnipresence,ふへん,fuhen,1,3.68,8.620000000000001
722,退職,retirement (from office),たいしょく,taishoku,1,4.35,7.950000000000001
723,引き下げる,to pull down; to lower; to reduce; to withdraw,ひきさげる,hikisageru,1,2.82,9.48
724,持て成す,to entertain; to make welcome,もてなす,motenasu,1,1.11,11.190000000000001
725,産休,maternity leave,さんきゅう,sankyū,1,3.28,9.020000000000001
726,心中,double suicide; lovers suicide,しんじゅう,shinjū,1,3.64,8.66
727,鈍感,thickheadedness; stolidity,どんかん,donkan,1,3.36,8.940000000000001
728,今更,now; at this late hour,いまさら,imasara,1,4.29,8.010000000000002
729,破裂,explosion; rupture; break off,はれつ,haretsu,1,3.65,8.65
730,反射,reflection; reverberation,はんしゃ,hansha,1,4.15,8.15
731,届け,report; notification; registration,とどけ,todoke,1,4.62,7.680000000000001
732,生,pure; undiluted; raw; crude,き,ki,1,5.46,6.840000000000001
733,脱退,secession,だったい,dattai,1,3.76,8.540000000000001
734,造る,to make; to create; to manufacture; to draw up; to write; to compose; to build; to coin; to cultivate; to org,つくる,tsukuru,1,3.49,8.81
735,内部,interior; inside; internal,ないぶ,naibu,1,4.7,7.6000000000000005
736,余地,place; room; margin; scope,よち,yochi,1,4.03,8.27
737,教科,subject; curriculum,きょうか,kyōka,1,3.71,8.59
738,対等,equivalent,たいとう,taitō,1,3.61,8.690000000000001
739,ダブる,to coincide (fall on the same day); to have two of something; to repeat a school year after failing,,daburu,1,2.15,10.15
740,驚き,surprise; astonishment; wonder,おどろき,odoroki,1,4.54,7.760000000000001
741,屡,often; again and again; frequently,しばしば,shibashiba,1,1.85,10.450000000000001
742,下番,going off duty,かばん,kaban,1,0.0,12.3
743,人材,man of talent,じんざい,jinzai,1,4.35,7.950000000000001
744,麻,flax; linen; hemp,あさ,asa,1,4.18,8.120000000000001
745,盲点,blind spot,もうてん,mōten,1,3.12,9.18
746,率直,frankness; candour; openheartedness,そっちょく,sotchoku,1,3.64,8.66
747,パトカー,patrol car,,patokā,1,3.59,8.71
748,調べ,preparation; investigation; inspection,しらべ,shirabe,1,5.01,7.290000000000001
749,デザート,dessert,,dezāto,1,3.93,8.370000000000001
750,嗚呼,Ah!; Oh!; Alas!,ああ,aa,1,3.17,9.13
751,行進,march; parade,こうしん,kōshin,1,3.69,8.610000000000001
752,大事,important; valuable; serious matter,おおごと,ōgoto,1,5.13,7.170000000000001
753,清々しい,fresh; refreshing,すがすがしい,sugasugashii,1,3.25,9.05
754,婉曲,euphemistic; circumlocution; roundabout; indirect; insinuating,えんきょく,enkyoku,1,2.64,9.66
755,アンコール,encore,,ankōru,1,3.64,8.66
756,苗,rice seedling,なえ,nae,1,3.6,8.700000000000001
757,進度,progress,しんど,shindo,1,2.11,10.190000000000001
758,暗殺,assassination,あんさつ,ansatsu,1,4.39,7.910000000000001
759,元首,ruler; sovereign,げんしゅ,genshu,1,3.05,9.25
760,且つ,yet; and,かつ,katsu,1,3.53,8.770000000000001
761,彼此,one thing or another; this and that; this or that,あれこれ,arekore,1,1.4,10.9
762,馴れ馴れしい,over-familiar,なれなれしい,narenareshii,1,2.04,10.260000000000002
763,耐える,to bear; to endure,たえる,taeru,1,3.7,8.600000000000001
764,喜劇,comedy; funny show,きげき,kigeki,1,3.4,8.9
765,草臥れる,to get tired; to wear out,くたびれる,kutabireru,1,0.0,12.3
766,貨幣,money; currency; coinage,かへい,kahei,1,3.5,8.8
767,ボイコット,boycott,,boikotto,1,3.24,9.06
768,幽霊,ghost; specter; apparition; phantom,ゆうれい,yūrei,1,4.11,8.190000000000001
769,甚だ,very; greatly; exceedingly,はなはだ,hanahada,1,2.85,9.450000000000001
770,養う,to rear; to maintain; to cultivate,やしなう,yashinau,1,3.44,8.860000000000001
771,水気,1.  moisture; dampness; vapor; 2.  dropsy; edema,すいき,suiki,1,2.74,9.56
772,予め,beforehand; in advance; previously,あらかじめ,arakajime,1,3.6,8.700000000000001
773,砂利,gravel; ballast; pebbles,じゃり,jari,1,3.28,9.020000000000001
774,ブーツ,boots,,būtsu,1,3.92,8.38
775,独裁,dictatorship; despotism,どくさい,dokusai,1,3.86,8.440000000000001
776,父母,father and mother; parents,ちちはは,chichihaha,1,3.33,8.97
777,甘口,sweet flavour; mildness; flattery; stupidity,あまくち,amakuchi,1,3.03,9.270000000000001
778,頂,(top of) head; summit; spire,いただき,itadaki,1,3.56,8.74
779,介抱,nursing; looking after,かいほう,kaihō,1,2.99,9.31
780,字,section of village,あざ,aza,1,4.75,7.550000000000001
781,家畜,domestic animals; livestock; cattle,かちく,kachiku,1,3.86,8.440000000000001
782,あやふや,uncertain; vague; ambiguous,,ayafuya,1,3.06,9.24
783,嫉妬,jealousy,しっと,shitto,1,4.28,8.02
784,ガイド,tour guide,,gaido,1,4.18,8.120000000000001
785,出動,sailing; marching; going out,しゅつどう,shutsudō,1,3.84,8.46
786,調停,arbitration; conciliation; mediation,ちょうてい,chōtei,1,3.57,8.73
787,差し支える,to interfere; to hinder; to become impeded,さしつかえる,sashitsukaeru,1,2.08,10.22
788,雑貨,miscellaneous goods; general goods; sundries,ざっか,zakka,1,3.86,8.440000000000001
789,ダース,dozen,,dāsu,1,3.0,9.3
790,国産,domestic products,こくさん,kokusan,1,4.08,8.22
791,サンタクロース,Santa Claus,,santakurōsu,1,3.28,9.020000000000001
792,食い違う,to cross each other; to run counter to; to differ; to clash; to go awry,くいちがう,kuichigau,1,2.55,9.75
793,見せびらかす,to show off; to flaunt,みせびらかす,misebirakasu,1,2.63,9.670000000000002
794,奇麗,pretty; clean; nice; tidy; beautiful; fair,きれい,kirei,1,2.83,9.47
795,ファイル,file,,fairu,1,4.75,7.550000000000001
796,危ぶむ,to fear; to have misgivings; to be doubtful; to mistrust,あやぶむ,ayabumu,1,2.0,10.3
797,出産,(child)birth; delivery; production (of goods),しゅっさん,shussan,1,4.24,8.06
798,放射能,radioactivity,ほうしゃのう,hōshanō,1,3.95,8.350000000000001
799,雅致,artistry; good taste; elegance; grace,がち,gachi,1,0.0,12.3
800,過労,overwork; strain,かろう,karō,1,3.53,8.770000000000001
801,予感,presentiment; premonition,よかん,yokan,1,4.26,8.040000000000001
802,お邪魔します,Excuse me for disturbing (interrupting) you,おじゃまします,ojamashimasu,1,4.61,7.69
803,腸,guts; bowels; intestines,ちょう,chō,1,4.0,8.3
804,如何に,how?; in what way?; how much?; however; whatever,いかに,ikani,1,2.39,9.91
805,駆けっこ,(foot) race,かけっこ,kakekko,1,1.65,10.65
806,要望,demand for; request,ようぼう,yōbō,1,4.2,8.100000000000001
807,ビールス,virus,,bīrusu,1,1.97,10.33
808,鳥居,torii (Shinto shrine archway),とりい,torii,1,3.45,8.850000000000001
809,志,will; intention; motive,こころざし,kokorozashi,1,4.23,8.07
810,流,styleof; method of; manner of,りゅう,ryū,1,4.53,7.7700000000000005
811,きっかり,exactly; precisely,,kikkari,1,2.6,9.700000000000001
812,甲,1st in rank; first sign of the Chinese calendar; shell; instep; grade A,きのえ,kinoe,1,4.16,8.14
813,喫茶,tea drinking; tea house,きっさ,kissa,1,3.83,8.47
814,障る,to hinder; to interfere with; to affect; to do one harm; to be harmful to,さわる,sawaru,1,2.61,9.690000000000001
815,幹部,management; (executive) staff; leaders,かんぶ,kanbu,1,4.25,8.05
816,対比,contrast; comparison,たいひ,taihi,1,3.58,8.72
817,痛感,feeling keenly; fully realizing,つうかん,tsūkan,1,3.52,8.780000000000001
818,寄こす,to send; to forward,よこす,yokosu,1,1.04,11.260000000000002
819,勘弁,pardon; forgiveness; forbearance,かんべん,kanben,1,4.17,8.13
820,我がまま,selfishness; egoism; wilfulness; disobedience; whim,わがまま,wagamama,1,4.29,8.010000000000002
821,直感,intuition,ちょっかん,chokkan,1,3.96,8.34
822,呆然,dumbfounded; overcome with surprise; in blank amazement,ぼうぜん,bōzen,1,2.95,9.350000000000001
823,手軽,easy; simple; informal; offhand; cheap,てがる,tegaru,1,4.09,8.21
824,件,example; precedent; the usual; the said; the above-mentioned; (man) in question,くだん,kudan,1,5.21,7.090000000000001
825,権,authority; the right (to do something),けん,ken,1,5.01,7.290000000000001
826,全快,complete recovery of health,ぜんかい,zenkai,1,2.8,9.5
827,追及,gaining on; carrying out; solving (crime),ついきゅう,tsuikyū,1,3.85,8.450000000000001
828,目眩,dizziness; giddiness,めまい,memai,1,2.92,9.38
829,包む,to be engulfed in; to be enveloped by; to wrap up; to tuck in; to pack; to do up; to cover with; to dress i,くるむ,kurumu,1,3.29,9.010000000000002
830,用件,business,ようけん,yōken,1,3.01,9.290000000000001
831,お祖母さん,grandmother; female senior-citizen,おばあさん,obaasan,1,1.91,10.39
832,お供,attendant; companion,おとも,otomo,1,3.38,8.920000000000002
833,盛る,to prosper; to flourish; to copulate (animals),さかる,sakaru,1,3.04,9.260000000000002
834,疑惑,doubt; misgivings; distrust; suspicion,ぎわく,giwaku,1,4.24,8.06
835,努めて,make an effort!; work hard!,つとめて,tsutomete,1,3.86,8.440000000000001
836,引き上げる,to withdraw; to leave; to pull out; to retire,ひきあげる,hikiageru,1,3.53,8.770000000000001
837,討論,debate; discussion,とうろん,tōron,1,3.8,8.5
838,収容,accommodation; reception; seating; housing; custody; admission; entering (in a dictionary),しゅうよう,shūyō,1,4.09,8.21
839,人柄,personality; character; personal appearance; gentility,ひとがら,hitogara,1,3.64,8.66
840,下取り,trade in; part exchange,したどり,shitadori,1,2.9,9.4
841,重んずる,to honor; to respect; to esteem; to prize,おもんずる,omonzuru,1,1.68,10.620000000000001
842,偏,side; left radical of a character; inclining; inclining toward; biased,へん,hen,1,3.34,8.96
843,宛,addressed to,あて,ate,1,3.81,8.49
844,酪農,dairy (farm),らくのう,rakunō,1,3.16,9.14
845,鋸,saw,のこぎり,nokogiri,1,2.87,9.43
846,兎に角,anyhow; at any rate; anyway; somehow or other; generally speaking; in any case,とにかく,tonikaku,1,3.74,8.56
847,脅迫,threat; menace; coercion; terrorism,きょうはく,kyōhaku,1,4.01,8.290000000000001
848,結核,tuberculosis; tubercule,けっかく,kekkaku,1,3.23,9.07
849,銅,copper,あかがね,akagane,1,3.83,8.47
850,一面,one side; one phase; front page; the other hand; the whole surface,いちめん,ichimen,1,5.0,7.300000000000001
851,チャイム,chime,,chaimu,1,3.35,8.950000000000001
852,御負け,1.  a discount; a prize; 2.  something additional; bonus; an extra; 3.  an exaggeration,おまけ,omake,1,4.53,7.7700000000000005
853,中継,relay; hook-up,ちゅうけい,chūkei,1,4.43,7.870000000000001
854,押し寄せる,to push aside; to advance on,おしよせる,oshiyoseru,1,3.0,9.3
855,再生,playback; regeneration; resuscitation; return to life; rebirth; reincarnation; narrow escape; reclamation; r,さいせい,saisei,1,4.74,7.5600000000000005
856,明るい,bright; cheerful,あかるい,akarui,1,4.24,8.06
857,群,group (math),ぐん,gun,1,4.45,7.8500000000000005
858,沿線,along railway line,えんせん,ensen,1,3.66,8.64
859,主任,person in charge; responsible official,しゅにん,shunin,1,3.99,8.31
860,晴天,fine weather,せいてん,seiten,1,3.37,8.93
861,楽しむ,to enjoy oneself,たのしむ,tanoshimu,1,4.39,7.910000000000001
862,受け取り,receipt,うけとり,uketori,1,4.05,8.25
863,佳句,beautiful passage of literature,かく,kaku,1,3.48,8.82
864,ちらっと,at a glance; by accident,,chiratto,1,3.29,9.010000000000002
865,巧み,skill; cleverness,たくみ,takumi,1,3.67,8.63
866,逸らす,to turn away; to avert,そらす,sorasu,1,2.9,9.4
867,始発,first train,しはつ,shihatsu,1,3.56,8.74
868,而も,moreover; furthermore; nevertheless; and yet,しかも,shikamo,1,2.74,9.56
869,紡績,spinning,ぼうせき,bōseki,1,2.51,9.790000000000001
870,和,sum; harmony; peace,わ,wa,1,4.61,7.69
871,禅,Zen (Buddhism),ぜん,zen,1,3.46,8.84
872,発掘,excavation; exhumation,はっくつ,hakkutsu,1,4.02,8.280000000000001
873,結び付く,to be connected or related; to join together,むすびつく,musubitsuku,1,2.35,9.950000000000001
874,主演,starring; playing the leading part,しゅえん,shuen,1,4.33,7.970000000000001
875,司る,to rule; to govern; to administer,つかさどる,tsukasadoru,1,3.13,9.170000000000002
876,ナプキン,napkin,,napukin,1,3.35,8.950000000000001
877,仕切る,to partition; to divide; to mark off; to settle accounts; to toe the mark,しきる,shikiru,1,3.03,9.270000000000001
878,受け止める,to catch; to stop the blow; to react to; to take,うけとめる,uketomeru,1,3.43,8.870000000000001
879,悪,evil; wickedness,あく,aku,1,4.75,7.550000000000001
880,呆れる,to be amazed; to be shocked,あきれる,akireru,1,3.16,9.14
881,密集,crowd; close formation; dense,みっしゅう,misshū,1,3.45,8.850000000000001
882,盛大,grand; prosperous; magnificent,せいだい,seidai,1,3.71,8.59
883,連ねる,to link; to join; to put together,つらねる,tsuraneru,1,2.83,9.47
884,和文,Japanese text; sentence in Japanese,わぶん,wabun,1,2.61,9.690000000000001
885,導く,to be guided; to be shown,みちびく,michibiku,1,3.91,8.39
886,繕う,to mend; to repair; to fix; to patch up; to darn; to tidy up; to adjust; to trim,つくろう,tsukurō,1,1.94,10.360000000000001
887,寝かせる,to put to bed; to lay down; to ferment,ねかせる,nekaseru,1,2.81,9.49
888,神聖,holiness; sacredness; dignity,しんせい,shinsei,1,3.96,8.34
889,盛り上がる,to rouse; to swell; to rise,もりあがる,moriagaru,1,3.85,8.450000000000001
890,茶の間,living room (Japanese style),ちゃのま,chanoma,1,3.24,9.06
891,夕暮れ,evening; (evening) twilight,ゆうぐれ,yūgure,1,3.47,8.83
892,万人,all people; everybody; 10000 people,ばんじん,banjin,1,5.66,6.640000000000001
893,鉄棒,iron rod; crowbar; horizontal bar (gymnastics),かなぼう,kanabō,1,2.8,9.5
894,加味,seasoning; flavoring,かみ,kami,1,3.21,9.09
895,強請る,to tease; to coax; to solicit; to demand,ねだる,nedaru,1,1.64,10.66
896,褒美,reward; prize,ほうび,hōbi,1,3.92,8.38
897,台無し,mess; spoiled; (come to) nothing,だいなし,dainashi,1,3.73,8.57
898,待ち遠しい,looking forward to,まちどおしい,machidōshii,1,3.46,8.84
899,終始,beginning and end; from beginning to end; doing a thing from beginning to end,しゅうし,shūshi,1,3.81,8.49
900,天地,heaven and earth; the universe; nature; top and bottom; realm; sphere; world,あめつち,ametsuchi,1,3.44,8.860000000000001
901,手近,near; handy; familiar,てぢか,tejika,1,2.66,9.64
902,相応しい,appropriate,ふさわしい,fusawashii,1,3.69,8.610000000000001
903,目盛,scale; gradations,めもり,memori,1,2.37,9.93
904,スプリング,spring,,supuringu,1,3.73,8.57
905,情熱,passion; enthusiasm; zeal,じょうねつ,jōnetsu,1,4.17,8.13
906,没収,forfeited,ぼっしゅう,bosshū,1,3.72,8.58
907,水田,(water-filled) paddy field,すいでん,suiden,1,3.29,9.010000000000002
908,余所見,looking away; looking aside,よそみ,yosomi,1,1.48,10.82
909,質素,simplicity; modesty; frugality,しっそ,shisso,1,3.08,9.22
910,ずるずる,sound or act of dragging; loose; inconclusive but unwanted situation; trailingly,,zuruzuru,1,2.98,9.32
911,如何して,why?; for what reason; how; in what way; for what purpose; what for,どうして,dōshite,1,3.96,8.34
912,製,-made; make,せい,sei,1,4.88,7.420000000000001
913,ぼつぼつ,gradually; here and there; spots; pimples,,botsubotsu,1,1.51,10.790000000000001
914,試みる,to try; to test,こころみる,kokoromiru,1,3.53,8.770000000000001
915,作用,action; operation; effect; function,さよう,sayō,1,4.4,7.9
916,乗っ取る,to capture; to occupy; to usurp,のっとる,nottoru,1,2.83,9.47
917,退学,dropping out of school,たいがく,taigaku,1,3.78,8.520000000000001
918,転落,fall; degradation; slump,てんらく,tenraku,1,3.75,8.55
919,樹木,trees and shrubs; arbour,じゅもく,jumoku,1,3.65,8.65
920,逃走,flight; desertion; escape,とうそう,tōsō,1,3.98,8.32
921,ハンガー,hangar; (coat) hanger; hunger,,hangā,1,3.54,8.760000000000002
922,其処ら,everywhere; somewhere; approximately; that area; around there,そこら,sokora,1,2.98,9.32
923,半端,remnant; fragment; incomplete set; fraction; odd sum; incompleteness,はんぱ,hanpa,1,4.12,8.18
924,取りあえず,at once; first of all; for the time being,とりあえず,toriaezu,1,3.11,9.190000000000001
925,胴,trunk; body; frame,どう,dō,1,3.63,8.670000000000002
926,訂正,correction; revision,ていせい,teisei,1,3.99,8.31
927,複合,composite; complex,ふくごう,fukugō,1,3.93,8.370000000000001
928,提示,presentation; exhibit; suggest; citation,ていじ,teiji,1,4.25,8.05
929,照合,collation; comparison,しょうごう,shōgō,1,3.19,9.110000000000001
930,大幅,full width; large scale; drastic,おおはば,ōhaba,1,4.4,7.9
931,専用,exclusive use; personal use,せんよう,sen'yō,1,4.88,7.420000000000001
932,軽蔑,scorn; disdain,けいべつ,keibetsu,1,3.46,8.84
933,漏れる,to leak out; to escape; to come through; to shine through; to filter out; to be omitted,もれる,moreru,1,3.26,9.040000000000001
934,暴露,disclosure; exposure; revelation,ばくろ,bakuro,1,4.06,8.240000000000002
935,あくどい,1.  gaudy; showy; excessive; 2.  vicious,,akudoi,1,2.44,9.860000000000001
936,待ち合わせ,appointment,まちあわせ,machiawase,1,3.81,8.49
937,中毒,poisoning,ちゅうどく,chūdoku,1,4.23,8.07
938,デッサン,(fr:) (n) rough sketch (fr: dessin),,dessan,1,3.33,8.97
939,区間,section (of track  etc),くかん,kukan,1,3.79,8.510000000000002
940,尚,furthermore; still; yet; more; still more; greater; further; less,なお,nao,1,4.22,8.080000000000002
941,暗算,mental arithmetic,あんざん,anzan,1,2.61,9.690000000000001
942,起源,origin; beginning; rise,きげん,kigen,1,3.81,8.49
943,溢れる,to flood; to overflow; to brim over,あふれる,afureru,1,3.95,8.350000000000001
944,出題,proposing a question,しゅつだい,shutsudai,1,3.6,8.700000000000001
945,弱まる,to abate; to weaken; to be emaciated; to be dejected; to be perplexed,よわまる,yowamaru,1,2.77,9.530000000000001
946,看護,nursing; (army) nurse,かんご,kango,1,4.53,7.7700000000000005
947,慣らす,to accustom,ならす,narasu,1,2.15,10.15
948,区々,1.  several; various; divergent; conflicting; different; diverse; 2.  trivial,まちまち,machimachi,1,1.19,11.110000000000001
949,略奪,pillage; plunder; looting; robbery,りゃくだつ,ryakudatsu,1,3.72,8.58
950,治安,public order,ちあん,chian,1,4.01,8.290000000000001
951,自覚,self-conscious,じかく,jikaku,1,4.23,8.07
952,癌,cancer,がん,gan,1,4.22,8.080000000000002
953,代わる,to take the place of; to relieve; to be substituted for; to be exchanged; to change places with; to take,かわる,kawaru,1,3.68,8.620000000000001
954,レントゲン,X-ray (lit: Roentgen),,rentogen,1,3.16,9.14
955,インフォメーション,information,,infomēshon,1,3.29,9.010000000000002
956,産出,yield; produce,さんしゅつ,sanshutsu,1,3.05,9.25
957,ミュージック,music,,my-jikku,1,4.12,8.18
958,原文,the text; original,げんぶん,genbun,1,3.49,8.81
959,システム,system,,shisutemu,1,5.21,7.090000000000001
960,ニュアンス,nuance,,nyuansu,1,3.64,8.66
961,次いで,next; secondly; subsequently,ついで,tsuide,1,3.72,8.58
962,荒らす,to lay waste; to devastate; to damage; to invade; to break into,あらす,arasu,1,3.06,9.24
963,吟味,testing; scrutiny; careful investigation,ぎんみ,ginmi,1,3.31,8.99
964,嘴,beak; bill,くちばし,kuchibashi,1,2.56,9.74
965,費やす,to spend; to devote; to waste,ついやす,tsuiyasu,1,3.3,9.0
966,裸足,barefoot,はだし,hadashi,1,3.39,8.91
967,可愛い,pretty; cute; lovely; charming; dear; darling; pet,かわいい,kawaii,1,5.04,7.260000000000001
968,与党,government party; (ruling) party in power; government,よとう,yotō,1,3.83,8.47
969,セクション,section,,sekushon,1,3.7,8.600000000000001
970,降水,rainfall; precipitation,こうすい,kōsui,1,3.58,8.72
971,不明,unknown; obscure; indistinct; uncertain; ambiguous; ignorant; lack of wisdom; anonymous; unidentified,ふめい,fumei,1,4.94,7.36
972,例,instance; example; case; precedent; experience; custom; usage; parallel; illustration,ためし,tameshi,1,4.98,7.32
973,問い合わせる,to enquire; to seek information,といあわせる,toiawaseru,1,2.71,9.59
974,前もって,in advance; beforehand; previously,まえもって,maemotte,1,3.4,8.9
975,お祖父さん,grandfather; male senior-citizen,おじいさん,ojiisan,1,2.09,10.21
976,還元,resolution; reduction; return to origins,かんげん,kangen,1,4.1,8.200000000000001
977,群がる,to swarm; to gather,むらがる,muragaru,1,3.2,9.100000000000001
978,仕上げる,to finish up; to complete,しあげる,shiageru,1,3.25,9.05
979,改良,improvement; reform,かいりょう,kairyō,1,4.12,8.18
980,到底,(cannot) possibly,とうてい,tōtei,1,3.62,8.68
981,コンタクト,contact; contact lens,,kontakuto,1,3.9,8.4
982,デコレーション,decoration,,dekorēshon,1,3.01,9.290000000000001
983,中和,neutralize; counteract,ちゅうわ,chūwa,1,3.17,9.13
984,及び,and; as well as,および,oyobi,1,4.82,7.48
985,観覧,viewing,かんらん,kanran,1,3.67,8.63
986,単調,monotony; monotone; dullness,たんちょう,tanchō,1,3.22,9.08
987,俄か,sudden; abrupt; unexpected; improvised; offhand,にわか,niwaka,1,2.62,9.68
988,コンテスト,contest,,kontesuto,1,4.01,8.290000000000001
989,赤字,deficit; go in the red,あかじ,akaji,1,3.99,8.31
990,迅速,quick; fast; rapid; swift; prompt,じんそく,jinsoku,1,3.9,8.4
991,仕舞う,to finish; to close; to do something completely; to put away; to put an end to,しまう,shimau,1,2.52,9.780000000000001
992,同等,equality; equal; same rights; same rank,どうとう,dōtō,1,4.01,8.290000000000001
993,矢っ張り,also; as I thought; still; in spite of; absolutely,やっぱり,yappari,1,3.8,8.5
994,関与,participation; taking part in; participating in; being concerned in,かんよ,kan'yo,1,4.31,7.990000000000001
995,画期,epoch-making,かっき,kakki,1,4.54,7.760000000000001
996,ご無沙汰,not writing or contacting for a while,ごぶさた,gobusata,1,3.35,8.950000000000001
997,成るべく,as much as possible,なるべく,narubeku,1,3.57,8.73
998,興業,industrial enterprise,こうぎょう,kōgyō,1,2.94,9.360000000000001
999,主食,staple food,しゅしょく,shushoku,1,3.48,8.82
1000,未知,not yet known,みち,michi,1,3.85,8.450000000000001
1001,雪崩,avalanche,なだれ,nadare,1,3.12,9.18
1002,覆す,to overturn; to upset; to overthrow; to undermine,くつがえす,kutsugaesu,1,3.3,9.0
1003,鈍る,to become less capable; to grow dull; to become blunt; to weaken,なまる,namaru,1,2.62,9.68
1004,心細い,helpless; forlorn; hopeless; unpromising; lonely; discouraging; disheartening,こころぼそい,kokorobosoi,1,2.51,9.790000000000001
1005,未練,lingering affection; attachment; regret(s); reluctance,みれん,miren,1,3.35,8.950000000000001
1006,仕付ける,to be used to a job; to begin to do; to baste; to tack; to plant,しつける,shitsukeru,1,0.0,12.3
1007,園,garden (esp. man-made),えん,en,1,4.71,7.590000000000001
1008,見積り,estimation; quotation,みつもり,mitsumori,1,2.9,9.4
1009,卯,fourth sign of Chinese zodiac (The Hare  5am-7am  east  February),ぼう,bō,1,3.24,9.06
1010,棄権,abstain from voting; renunciation of a right,きけん,kiken,1,3.33,8.97
1011,安っぽい,cheap-looking; tawdry; insignificant,やすっぽい,yasuppoi,1,3.28,9.020000000000001
1012,がっくり,heartbroken,,gakkuri,1,2.48,9.82
1013,捕鯨,whaling; whale fishing,ほげい,hogei,1,3.52,8.780000000000001
1014,色彩,colour; hue; tints,しきさい,shikisai,1,3.83,8.47
1015,暴力,violence,ぼうりょく,bōryoku,1,4.5,7.800000000000001
1016,心掛ける,to bear in mind; to aim to do,こころがける,kokorogakeru,1,2.31,9.99
1017,嘘つき,liar (sometimes said with not much seriousness); fibber,うそつき,usotsuki,1,4.01,8.290000000000001
1018,殺人,murder,さつじん,satsujin,1,4.74,7.5600000000000005
1019,嚏,sneeze,くしゃみ,kushami,1,0.0,12.3
1020,元年,first year (of a specific reign),がんねん,gannen,1,3.57,8.73
1021,一気,drink!(said repeatedly as a party cheer),いっき,ikki,1,3.37,8.93
1022,採掘,mining,さいくつ,saikutsu,1,3.68,8.620000000000001
1023,起こす,to raise; to cause; to wake someone,おこす,okosu,1,4.35,7.950000000000001
1024,神殿,temple; sacred place,しんでん,shinden,1,3.6,8.700000000000001
1025,賄う,to give board to; to provide meals; to pay,まかなう,makanau,1,2.98,9.32
1026,何だか,a little; somewhat; somehow,なんだか,nandaka,1,3.98,8.32
1027,要因,primary factor; main cause,よういん,yōin,1,4.23,8.07
1028,告白,confession; acknowledgement,こくはく,kokuhaku,1,4.41,7.890000000000001
1029,空腹,hunger,くうふく,kūfuku,1,3.78,8.520000000000001
1030,上司,superior authorities; boss,じょうし,jōshi,1,4.57,7.73
1031,聖書,Bible; scriptures,せいしょ,seisho,1,4.12,8.18
1032,工作,work; construction; handicraft; maneuvering,こうさく,kōsaku,1,4.36,7.94
1033,採決,vote; roll call,さいけつ,saiketsu,1,3.41,8.89
1034,連邦,commonwealth; federation of states,れんぽう,renpō,1,4.39,7.910000000000001
1035,分散,dispersion; decentralization; variance (statistics),ぶんさん,bunsan,1,4.08,8.22
1036,中断,interruption; suspension; break,ちゅうだん,chūdan,1,4.01,8.290000000000001
1037,飼育,breeding; raising; rearing,しいく,shiiku,1,4.02,8.280000000000001
1038,あべこべ,contrary; opposite; inverse,,abekobe,1,2.42,9.88
1039,亜科,suborder; subfamily,あか,aka,1,4.27,8.030000000000001
1040,百科事典,encyclopedia,ひゃっかじてん,hyakkajiten,1,3.25,9.05
1041,基,basis,もとい,motoi,1,4.37,7.930000000000001
1042,断言,declaration; affirmation,だんげん,dangen,1,3.91,8.39
1043,安静,rest,あんせい,ansei,1,3.39,8.91
1044,地元,local,じもと,jimoto,1,4.8,7.500000000000001
1045,円満,perfection; harmony; peace; smoothness; completeness; satisfaction; integrity,えんまん,enman,1,3.22,9.08
1046,間柄,relation(ship),あいだがら,aidagara,1,3.29,9.010000000000002
1047,欠乏,want; shortage; famine,けつぼう,ketsubō,1,2.99,9.31
1048,気風,character; traits; ethos,きふう,kifū,1,2.6,9.700000000000001
1049,同封,enclosure (e.g. in a letter),どうふう,dōfū,1,2.86,9.440000000000001
1050,臍,navel; belly-button,へそ,heso,1,2.52,9.780000000000001
1051,治療,medical treatment,ちりょう,chiryō,1,4.85,7.450000000000001
1052,ローマ字,romanization; Roman letters,ローマじ,rōmaji,1,3.37,8.93
1053,火傷,burn; scald,かしょう,kashō,1,3.64,8.66
1054,弁論,discussion; debate; argument,べんろん,benron,1,3.13,9.170000000000002
1055,慣れ,practice; experience,なれ,nare,1,4.67,7.630000000000001
1056,商,quotient,しょう,shō,1,4.15,8.15
1057,民族,people; race; nation; racial customs; folk customs,みんぞく,minzoku,1,4.41,7.890000000000001
1058,ノイローゼ,(de:) (n) neurosis (de: Neurose),,noirōze,1,2.94,9.360000000000001
1059,生やす,to grow; to cultivate; to wear beard,はやす,hayasu,1,2.97,9.33
1060,知的,intellectual,ちてき,chiteki,1,4.22,8.080000000000002
1061,審議,deliberation,しんぎ,shingi,1,4.18,8.120000000000001
1062,片付け,tidying up; finishing,かたづけ,katazuke,1,4.3,8.0
1063,アプローチ,approach (in golf),,apurōchi,1,3.95,8.350000000000001
1064,沿い,along,ぞい,zoi,1,4.08,8.22
1065,取材,choice of subject; collecting data,しゅざい,shuzai,1,4.55,7.750000000000001
1066,消去,elimination; erasing; dying out; melting away,しょうきょ,shōkyo,1,3.83,8.47
